TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age,Quantity_Norm,UnitPrice_Norm,Age_Norm,Clusters,Age_Bin,Age_Group,Total_Spend,Purchase_Year,Purchase_Month,Season,Cluster_Label_Desc
25,CUST0517,08-10-2024,Shirt,Topwear,5,4645.0,Bangalore,Male,36,1.0,0.9293717486994798,0.3287671232876712,0,Seniors,30-44,23225.0,2024,10,Autumn,Frequent Buyers
25,CUST0517,10-08-2024,Tie,Accessories,4,3565.0,Thane,Female,44,0.75,0.7132853141256502,0.4383561643835616,0,Seniors,30-44,14260.0,2024,8,Monsoon,Frequent Buyers
25,CUST0517,10-08-2024,Jacket,Outerwear,3,1364.0,Nashik,Male,53,0.5,0.2729091636654662,0.5616438356164384,2,Seniors,45-59,4092.0,2024,8,Monsoon,Budget Buyers
26,CUST1280,26-12-2024,Shirt,Topwear,2,4249.0,Thane,Male,32,0.25,0.8501400560224089,0.273972602739726,1,Adults,30-44,8498.0,2024,12,Winter,Premium Buyers
26,CUST1280,26-12-2024,Tie,Accessories,5,514.0,Thane,Male,41,1.0,0.1028411364545818,0.3972602739726027,0,Seniors,30-44,2570.0,2024,12,Winter,Frequent Buyers
27,CUST0286,25-05-2024,T-Shirt,Topwear,3,1588.0,Mumbai,Male,41,0.5,0.3177270908363345,0.3972602739726027,2,Seniors,30-44,4764.0,2024,5,Summer,Budget Buyers
27,CUST0286,25-05-2024,Hoodie,Topwear,4,2536.0,Bangalore,Female,41,0.75,0.5074029611844738,0.3972602739726027,0,Seniors,30-44,10144.0,2024,5,Summer,Frequent Buyers
27,CUST0286,25-05-2024,Watch,Accessories,2,2768.0,Mumbai,Male,31,0.25,0.5538215286114446,0.2602739726027397,1,Adults,30-44,5536.0,2024,5,Summer,Premium Buyers
28,CUST1451,14-03-2024,Jacket,Outerwear,4,452.0,Bangalore,Female,47,0.75,0.0904361744697879,0.4794520547945205,0,Seniors,45-59,1808.0,2024,3,Summer,Frequent Buyers
28,CUST1451,14-03-2024,Scarf,Accessories,3,1020.0,Nashik,Male,45,0.5,0.2040816326530612,0.4520547945205479,2,Seniors,45-59,3060.0,2024,3,Summer,Budget Buyers
29,CUST2089,17-07-2024,Scarf,Accessories,1,1498.0,Pune,Male,34,0.0,0.299719887955182,0.3013698630136986,2,Adults,30-44,1498.0,2024,7,Monsoon,Budget Buyers
29,CUST2089,17-07-2024,Dress,Women'S Wear,5,2946.0,Thane,Female,58,1.0,0.5894357743097239,0.6301369863013698,0,Seniors,45-59,14730.0,2024,7,Monsoon,Frequent Buyers
30,CUST0315,22-10-2025,Socks,Footwear,5,4195.0,Bangalore,Female,50,1.0,0.8393357342937174,0.5205479452054794,0,Seniors,45-59,20975.0,2025,10,Autumn,Frequent Buyers
30,CUST0315,22-10-2025,Belt,Accessories,3,2616.0,Mumbai,Female,42,0.5,0.5234093637454982,0.410958904109589,2,Seniors,30-44,7848.0,2025,10,Autumn,Budget Buyers
30,CUST0315,22-10-2025,Hoodie,Topwear,2,3029.0,Pune,Female,23,0.25,0.6060424169667867,0.1506849315068493,1,Adults,18-29,6058.0,2025,10,Autumn,Premium Buyers
31,CUST2879,12-02-2025,Watch,Accessories,3,2829.0,Pune,Male,29,0.5,0.5660264105642256,0.2328767123287671,1,Adults,18-29,8487.0,2025,2,Winter,Premium Buyers
31,CUST2879,02-12-2025,Scarf,Accessories,5,608.0,Pune,Female,60,1.0,0.1216486594637855,0.6575342465753424,0,Old People,60+,3040.0,2025,12,Winter,Frequent Buyers
32,CUST1493,23-11-2025,Tie,Accessories,5,2258.0,Thane,Male,37,1.0,0.4517807122849139,0.3424657534246575,0,Seniors,30-44,11290.0,2025,11,Autumn,Frequent Buyers
32,CUST1493,23-11-2025,Shorts,Bottomwear,2,1934.0,Delhi,Female,56,0.25,0.3869547819127651,0.6027397260273972,2,Seniors,45-59,3868.0,2025,11,Autumn,Budget Buyers
33,CUST2103,30-05-2024,Cap,Accessories,4,735.0,Pune,Female,43,0.75,0.1470588235294117,0.4246575342465753,0,Seniors,30-44,2940.0,2024,5,Summer,Frequent Buyers
33,CUST2103,30-05-2024,Scarf,Accessories,2,4141.0,Pune,Male,46,0.25,0.828531412565026,0.4657534246575342,1,Seniors,45-59,8282.0,2024,5,Summer,Premium Buyers
34,CUST0977,05-03-2025,Shirt,Topwear,4,4690.0,Nashik,Female,19,0.75,0.938375350140056,0.0958904109589041,0,Teenagers,18-29,18760.0,2025,3,Summer,Frequent Buyers
34,CUST0977,03-05-2025,Tie,Accessories,5,4756.0,Mumbai,Female,41,1.0,0.9515806322529012,0.3972602739726027,0,Seniors,30-44,23780.0,2025,5,Summer,Frequent Buyers
34,CUST0977,05-03-2025,T-Shirt,Topwear,1,3022.0,Bangalore,Male,26,0.0,0.6046418567426971,0.1917808219178082,1,Adults,18-29,3022.0,2025,3,Summer,Premium Buyers
35,CUST0152,27-10-2024,Sneakers,Footwear,3,2839.0,Bangalore,Male,50,0.5,0.5680272108843537,0.5205479452054794,1,Seniors,45-59,8517.0,2024,10,Autumn,Premium Buyers
35,CUST0152,27-10-2024,Socks,Footwear,4,3575.0,Nashik,Male,65,0.75,0.7152861144457783,0.726027397260274,0,Old People,60+,14300.0,2024,10,Autumn,Frequent Buyers
36,CUST2468,07-03-2024,Dress,Women'S Wear,1,2985.0,Bangalore,Female,60,0.0,0.5972388955582233,0.6575342465753424,1,Old People,60+,2985.0,2024,3,Summer,Premium Buyers
36,CUST2468,03-07-2024,Handbag,Accessories,1,913.0,Mumbai,Male,41,0.0,0.182673069227691,0.3972602739726027,2,Seniors,30-44,913.0,2024,7,Monsoon,Budget Buyers
37,CUST1484,27-01-2025,Dress,Women'S Wear,1,1426.0,Mumbai,Female,51,0.0,0.2853141256502601,0.5342465753424658,2,Seniors,45-59,1426.0,2025,1,Winter,Budget Buyers
37,CUST1484,27-01-2025,Shorts,Bottomwear,2,2638.0,Nashik,Male,62,0.25,0.52781112444978,0.684931506849315,2,Old People,60+,5276.0,2025,1,Winter,Budget Buyers
37,CUST1484,27-01-2025,Scarf,Accessories,3,830.0,Thane,Male,53,0.5,0.1660664265706282,0.5616438356164384,2,Seniors,45-59,2490.0,2025,1,Winter,Budget Buyers
38,CUST2345,12-01-2025,Shirt,Topwear,5,1005.0,Nashik,Female,22,1.0,0.2010804321728691,0.136986301369863,0,Adults,18-29,5025.0,2025,1,Winter,Frequent Buyers
38,CUST2345,01-12-2025,Tie,Accessories,2,4815.0,Mumbai,Male,58,0.25,0.9633853541416568,0.6301369863013698,1,Seniors,45-59,9630.0,2025,12,Winter,Premium Buyers
39,CUST1164,21-03-2024,Jacket,Outerwear,3,4669.0,Pune,Male,23,0.5,0.9341736694677872,0.1506849315068493,1,Adults,18-29,14007.0,2024,3,Summer,Premium Buyers
39,CUST1164,21-03-2024,Scarf,Accessories,1,671.0,Delhi,Female,59,0.0,0.1342537014805922,0.6438356164383562,2,Seniors,45-59,671.0,2024,3,Summer,Budget Buyers
39,CUST1164,21-03-2024,Shirt,Topwear,4,2735.0,Nashik,Female,47,0.75,0.547218887555022,0.4794520547945205,0,Seniors,45-59,10940.0,2024,3,Summer,Frequent Buyers
40,CUST0536,14-01-2025,Jeans,Bottomwear,1,2490.0,Delhi,Female,46,0.0,0.4981992797118847,0.4657534246575342,2,Seniors,45-59,2490.0,2025,1,Winter,Budget Buyers
40,CUST0536,14-01-2025,Belt,Accessories,2,4380.0,Nashik,Male,50,0.25,0.8763505402160864,0.5205479452054794,1,Seniors,45-59,8760.0,2025,1,Winter,Premium Buyers
40,CUST0536,14-01-2025,Cap,Accessories,3,2639.0,Nashik,Female,52,0.5,0.5280112044817927,0.547945205479452,2,Seniors,45-59,7917.0,2025,1,Winter,Budget Buyers
41,CUST1845,17-07-2025,Shirt,Topwear,1,3525.0,Pune,Male,41,0.0,0.7052821128451381,0.3972602739726027,1,Seniors,30-44,3525.0,2025,7,Monsoon,Premium Buyers
41,CUST1845,17-07-2025,Tie,Accessories,2,4522.0,Delhi,Female,26,0.25,0.9047619047619048,0.1917808219178082,1,Adults,18-29,9044.0,2025,7,Monsoon,Premium Buyers
41,CUST1845,17-07-2025,Sneakers,Footwear,3,1196.0,Delhi,Male,44,0.5,0.2392957182873149,0.4383561643835616,2,Seniors,30-44,3588.0,2025,7,Monsoon,Budget Buyers
42,CUST1968,23-06-2024,Jacket,Outerwear,2,557.0,Nashik,Female,54,0.25,0.1114445778311324,0.5753424657534246,2,Seniors,45-59,1114.0,2024,6,Monsoon,Budget Buyers
42,CUST1968,23-06-2024,Scarf,Accessories,1,1430.0,Thane,Female,51,0.0,0.2861144457783113,0.5342465753424658,2,Seniors,45-59,1430.0,2024,6,Monsoon,Budget Buyers
42,CUST1968,23-06-2024,Socks,Footwear,3,4265.0,Thane,Female,30,0.5,0.8533413365346139,0.2465753424657534,1,Adults,30-44,12795.0,2024,6,Monsoon,Premium Buyers
43,CUST1121,21-10-2024,Jacket,Outerwear,3,1498.0,Bangalore,Female,36,0.5,0.299719887955182,0.3287671232876712,2,Seniors,30-44,4494.0,2024,10,Autumn,Budget Buyers
43,CUST1121,21-10-2024,Scarf,Accessories,1,2259.0,Mumbai,Male,33,0.0,0.4519807923169268,0.2876712328767123,2,Adults,30-44,2259.0,2024,10,Autumn,Budget Buyers
43,CUST1121,21-10-2024,Socks,Footwear,4,4195.0,Bangalore,Female,48,0.75,0.8393357342937174,0.4931506849315068,0,Seniors,45-59,16780.0,2024,10,Autumn,Frequent Buyers
44,CUST0718,03-03-2025,Belt,Accessories,3,605.0,Thane,Female,18,0.5,0.1210484193677471,0.0821917808219178,2,Teenagers,18-29,1815.0,2025,3,Summer,Budget Buyers
44,CUST0718,03-03-2025,Skirt,Women'S Wear,2,1221.0,Mumbai,Female,39,0.25,0.244297719087635,0.3698630136986301,2,Seniors,30-44,2442.0,2025,3,Summer,Budget Buyers
45,CUST1752,11-06-2025,Hoodie,Topwear,2,2596.0,Thane,Male,38,0.25,0.5194077631052421,0.3561643835616438,2,Seniors,30-44,5192.0,2025,6,Monsoon,Budget Buyers
45,CUST1752,11-06-2025,Cap,Accessories,2,3620.0,Bangalore,Female,61,0.25,0.7242897158863545,0.6712328767123288,1,Old People,60+,7240.0,2025,6,Monsoon,Premium Buyers
45,CUST1752,06-11-2025,Sneakers,Footwear,4,3359.0,Pune,Male,44,0.75,0.6720688275310124,0.4383561643835616,0,Seniors,30-44,13436.0,2025,11,Autumn,Frequent Buyers
46,CUST0460,03-04-2024,Hoodie,Topwear,3,4561.0,Delhi,Male,46,0.5,0.912565026010404,0.4657534246575342,1,Seniors,45-59,13683.0,2024,4,Summer,Premium Buyers
46,CUST0460,04-03-2024,Dress,Women'S Wear,3,1.0,Nashik,Female,43,0.5,0.0002000800320128,0.4246575342465753,2,Seniors,30-44,3.0,2024,3,Summer,Budget Buyers
47,CUST1176,22-02-2025,Sneakers,Footwear,4,3973.0,Bangalore,Male,42,0.75,0.7949179671868748,0.410958904109589,0,Seniors,30-44,15892.0,2025,2,Winter,Frequent Buyers
47,CUST1176,22-02-2025,Socks,Footwear,1,2743.0,Pune,Male,47,0.0,0.5488195278111244,0.4794520547945205,1,Seniors,45-59,2743.0,2025,2,Winter,Premium Buyers
47,CUST1176,22-02-2025,Watch,Accessories,4,427.0,Pune,Male,33,0.75,0.0854341736694677,0.2876712328767123,0,Adults,30-44,1708.0,2025,2,Winter,Frequent Buyers
48,CUST1185,27-08-2024,Jacket,Outerwear,3,1472.0,Bangalore,Male,60,0.5,0.2945178071228491,0.6575342465753424,2,Old People,60+,4416.0,2024,8,Monsoon,Budget Buyers
49,CUST2853,02-03-2025,Dress,Women'S Wear,2,2762.0,Nashik,Female,63,0.25,0.5526210484193678,0.6986301369863014,1,Old People,60+,5524.0,2025,3,Summer,Premium Buyers
49,CUST2853,02-03-2025,Handbag,Accessories,1,4686.0,Mumbai,Male,64,0.0,0.9375750300120048,0.7123287671232876,1,Old People,60+,4686.0,2025,3,Summer,Premium Buyers
49,CUST2853,02-03-2025,Skirt,Women'S Wear,3,424.0,Pune,Female,31,0.5,0.0848339335734293,0.2602739726027397,2,Adults,30-44,1272.0,2025,3,Summer,Budget Buyers
50,CUST2186,26-10-2025,Dress,Women'S Wear,1,4145.0,Bangalore,Female,38,0.0,0.8293317326930773,0.3561643835616438,1,Seniors,30-44,4145.0,2025,10,Autumn,Premium Buyers
50,CUST2186,26-10-2025,Handbag,Accessories,2,3410.0,Thane,Female,54,0.25,0.6822729091636655,0.5753424657534246,1,Seniors,45-59,6820.0,2025,10,Autumn,Premium Buyers
50,CUST2186,26-10-2025,Skirt,Women'S Wear,2,1445.0,Delhi,Female,64,0.25,0.2891156462585034,0.7123287671232876,2,Old People,60+,2890.0,2025,10,Autumn,Budget Buyers
51,CUST0279,25-12-2025,Sneakers,Footwear,1,2596.0,Delhi,Male,60,0.0,0.5194077631052421,0.6575342465753424,2,Old People,60+,2596.0,2025,12,Winter,Budget Buyers
51,CUST0279,25-12-2025,Socks,Footwear,1,1088.0,Thane,Female,51,0.0,0.2176870748299319,0.5342465753424658,2,Seniors,45-59,1088.0,2025,12,Winter,Budget Buyers
51,CUST0279,25-12-2025,Shorts,Bottomwear,1,558.0,Bangalore,Male,23,0.0,0.1116446578631452,0.1506849315068493,2,Adults,18-29,558.0,2025,12,Winter,Budget Buyers
52,CUST2164,13-02-2024,Jacket,Outerwear,1,908.0,Pune,Male,61,0.0,0.181672669067627,0.6712328767123288,2,Old People,60+,908.0,2024,2,Winter,Budget Buyers
52,CUST2164,13-02-2024,Scarf,Accessories,1,2750.0,Nashik,Female,28,0.0,0.550220088035214,0.2191780821917808,1,Adults,18-29,2750.0,2024,2,Winter,Premium Buyers
52,CUST2164,13-02-2024,Skirt,Women'S Wear,1,3879.0,Thane,Female,32,0.0,0.776110444177671,0.273972602739726,1,Adults,30-44,3879.0,2024,2,Winter,Premium Buyers
53,CUST2785,22-08-2025,Jeans,Bottomwear,1,971.0,Thane,Female,35,0.0,0.1942777110844337,0.3150684931506849,2,Adults,30-44,971.0,2025,8,Monsoon,Budget Buyers
53,CUST2785,22-08-2025,Belt,Accessories,2,3829.0,Pune,Male,46,0.25,0.7661064425770309,0.4657534246575342,1,Seniors,45-59,7658.0,2025,8,Monsoon,Premium Buyers
53,CUST2785,22-08-2025,Tie,Accessories,5,2287.0,Thane,Female,54,1.0,0.4575830332132853,0.5753424657534246,0,Seniors,45-59,11435.0,2025,8,Monsoon,Frequent Buyers
